bg_name,total_pop,male_pop,female_pop,white_pop,black_pop,hispanic_pop,median_income,poverty_count,median_home_value,state,county,tract,block group,blockgroup_id
"Block Group 1, Census Tract 1, Charleston County, South Carolina",707,250,457,565,142,7,104531,,914800,45,019,000100,1,450190001001
"Block Group 2, Census Tract 1, Charleston County, South Carolina",672,329,343,672,0,63,127569,,1368100,45,019,000100,2,450190001002
"Block Group 3, Census Tract 1, Charleston County, South Carolina",588,312,276,577,0,82,-666666666,,1040500,45,019,000100,3,450190001003
"Block Group 1, Census Tract 20.02, Charleston County, South Carolina",2984,1531,1453,2606,136,0,79821,,279200,45,019,002002,1,450190020021
"Block Group 2, Census Tract 20.02, Charleston County, South Carolina",1966,1121,845,1239,600,43,63611,,261600,45,019,002002,2,450190020022
"Block Group 1, Census Tract 31.04, Charleston County, South Carolina",3039,1568,1471,1313,891,1544,24794,,72300,45,019,003104,1,450190031041
"Block Group 2, Census Tract 31.05, Charleston County, South Carolina",2200,833,1367,980,757,890,31750,,45200,45,019,003105,2,450190031052
"Block Group 1, Census Tract 31.05, Charleston County, South Carolina",2181,1044,1137,1032,850,1065,24940,,85000,45,019,003105,1,450190031051
"Block Group 3, Census Tract 36, Charleston County, South Carolina",760,405,355,681,50,33,88917,,289500,45,019,003600,3,450190036003
"Block Group 1, Census Tract 36, Charleston County, South Carolina",785,432,353,488,188,113,53388,,236100,45,019,003600,1,450190036001
"Block Group 1, Census Tract 5, Charleston County, South Carolina",711,274,437,658,53,31,82703,,1087100,45,019,000500,1,450190005001
"Block Group 4, Census Tract 46.07, Charleston County, South Carolina",1662,809,853,1129,64,53,36282,,173800,45,019,004607,4,450190046074
"Block Group 1, Census Tract 26.04, Charleston County, South Carolina",911,386,525,652,192,0,67167,,261900,45,019,002604,1,450190026041
"Block Group 3, Census Tract 26.04, Charleston County, South Carolina",555,319,236,512,0,0,100625,,384300,45,019,002604,3,450190026043
"Block Group 3, Census Tract 37, Charleston County, South Carolina",464,307,157,86,378,0,-666666666,,250000,45,019,003700,3,450190037003
"Block Group 1, Census Tract 28.01, Charleston County, South Carolina",1964,982,982,1429,509,129,72788,,293400,45,019,002801,1,450190028011
"Block Group 3, Census Tract 28.01, Charleston County, South Carolina",1398,678,720,1108,139,9,86500,,260300,45,019,002801,3,450190028013
"Block Group 3, Census Tract 31.15, Charleston County, South Carolina",4926,2186,2740,1372,3044,263,29890,,180300,45,019,003115,3,450190031153
"Block Group 1, Census Tract 31.07, Charleston County, South Carolina",1454,562,892,367,993,28,35596,,117700,45,019,003107,1,450190031071
